date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:44:46	196/196	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20May%202023%2003:44:46%20GMT	http://localhost/robots.txt		(from )
10:44:53	104682/104682	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20May%202023%2003:44:46%20GMT	http://localhost/adamportfoliolikhawan/	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/index.html	(from )
10:44:53	94889/94889	---M--	200	added ('OK')	text/css	etag:%22172a9-5ed33192c4540%22	http://localhost/adamportfoliolikhawan/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-includes/css/dist/block-library/style.min6a4d.css	(from http://localhost/adamportfoliolikhawan/)
10:44:54	217/217	---M--	200	added ('OK')	text/css	etag:%22d9-5ebdc1e39f300%22	http://localhost/adamportfoliolikhawan/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-includes/css/classic-themes.min68b3.css	(from http://localhost/adamportfoliolikhawan/)
10:44:55	1742/1742	---M--	200	added ('OK')	application/rss+xml	etag:%22a159c301411003ce2690646fe002c279%22	http://localhost/adamportfoliolikhawan/feed/	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/feed/index.html	(from http://localhost/adamportfoliolikhawan/)
10:44:55	2178/2178	---M--	200	added ('OK')	text/css	etag:%22882-5f376277bbb90%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/awesome-contact-form7-for-elementor/assets/css/style.css?ver=6.1.1	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/awesome-contact-form7-for-elementor/assets/css/style6a4d.css	(from http://localhost/adamportfoliolikhawan/)
10:44:56	1691/1691	---M--	200	added ('OK')	application/rss+xml	etag:%22a159c301411003ce2690646fe002c279%22	http://localhost/adamportfoliolikhawan/comments/feed/	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/comments/feed/index.html	(from http://localhost/adamportfoliolikhawan/)
10:44:56	2803/2803	---M--	200	added ('OK')	text/css	etag:%22af3-5f37627cd5df0%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.7.3	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/contact-form-7/includes/css/styles76f3.css	(from http://localhost/adamportfoliolikhawan/)
10:44:56	776/776	---M--	200	added ('OK')	text/css	etag:%22308-5f3762829bba1%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.13	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor1f62.css	(from http://localhost/adamportfoliolikhawan/)
10:44:56	19363/19363	---M--	200	added ('OK')	text/css	etag:%224ba3-5f7d9386401ef%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from http://localhost/adamportfoliolikhawan/)
10:44:57	87331/87331	---M--	200	added ('OK')	text/css	etag:%2215523-5f7d9384f432e%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.5	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/elementor/assets/css/frontend-lite.mina3be.css	(from http://localhost/adamportfoliolikhawan/)
10:44:58	12876/12876	---M--	200	added ('OK')	text/css	etag:%22324c-5f7d93869f82f%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from http://localhost/adamportfoliolikhawan/)
10:44:58	1211/1211	---M--	200	added ('OK')	text/css	etag:%224bb-5f7d956ffbc32%22	http://localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-28.css?ver=1679887723	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-28210c.css	(from http://localhost/adamportfoliolikhawan/)
10:44:58	8776/8776	---M--	200	added ('OK')	text/css	etag:%222248-5f25cb5e344bd%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.9.2	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min2e46.css	(from http://localhost/adamportfoliolikhawan/)
10:44:59	33951/33951	---M--	200	added ('OK')	text/css	etag:%22849f-5f376287718c9%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/image-hover-effects-addon-for-elementor/assets/style.min.css?ver=1.3.7	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/image-hover-effects-addon-for-elementor/assets/style.min52d0.css	(from http://localhost/adamportfoliolikhawan/)
10:45:00	250/250	---M--	200	added ('OK')	text/css	etag:%22fa-5f37628ba1ed6%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/jetsticky-for-elementor/assets/css/jet-sticky-frontend.css?ver=1.0.3	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/jetsticky-for-elementor/assets/css/jet-sticky-frontend4bf4.css	(from http://localhost/adamportfoliolikhawan/)
10:45:00	44703/44703	---M--	200	added ('OK')	text/css	etag:%22ae9f-5f7d9570e5ab8%22	http://localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-64.css?ver=1679887724	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-64296e.css	(from http://localhost/adamportfoliolikhawan/)
10:45:02	75684/75684	---M--	200	added ('OK')	text/css	etag:%22127a4-5f376283034dc%22	http://localhost/adamportfoliolikhawan/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend.css?ver=1.6.13	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/plugins/header-footer-elementor/inc/widgets-css/frontend1f62.css	(from http://localhost/adamportfoliolikhawan/)
10:45:02	6051/6051	---M--	200	added ('OK')	text/css	etag:%2217a3-5f25c7c7a6260%22	http://localhost/adamportfoliolikhawan/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/themes/hello-elementor/style.minc141.css	(from http://localhost/adamportfoliolikhawan/)
10:45:02	15672/15672	---M--	200	added ('OK')	text/css	etag:%223d38-5f25c7c7ac0f6%22	http://localhost/adamportfoliolikhawan/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/themes/hello-elementor/theme.minc141.css	(from http://localhost/adamportfoliolikhawan/)
10:45:03	1800/1800	---M--	200	added ('OK')	text/css	etag:%22708-5f7d9570f11bc%22	http://localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-32.css?ver=1679887724	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-32296e.css	(from http://localhost/adamportfoliolikhawan/)
10:45:03	1338/1338	---M--	200	added ('OK')	text/css	etag:%2253a-5f7d9570fe707%22	http://localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-42.css?ver=1679887724	C:/My%20Web%20Sites/portofoliomei/localhost/adamportfoliolikhawan/wp-content/uploads/elementor/css/post-42296e.css	(from http://localhost/adamportfoliolikhawan/)
